Ref,Qty,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"A1","1","KB2040","","","Adafruit Feather RP2040 microcontroller dev board","https://learn.adafruit.com/adafruit-feather-rp2040-pico","Adafruit","4884","Adafruit","4884","https://www.adafruit.com/product/4884","","","","","",""
"A2","1","OLED_128x32","","","OLED display module 128x32 pixels I2C with header, STEMMA-QT connectors","https://learn.adafruit.com/monochrome-oled-breakouts","Adafruit","4440","Adafruit","4440","https://www.adafruit.com/product/4440","","","","","",""
"A3","1","Cable_Eurorack_16","","Length as required","Eurorack 16-16 pin power & bus cable","","","","Thonk","","https://www.thonk.co.uk/shop/eurorack-power-cables/","SynthCube","","https://synthcube.com/cart/eurorack-ribbon-power-cables","Modular Addict","","https://modularaddict.com/parts/eurorack-power-cables-1"
"A4","1","USB C Adapter 90deg","","","Miscellaneous","","AFUNTA","","Amazon","","https://www.amazon.ca/Degree-Adapter-AFUNTA-Downward-Extension/dp/B078YRKTKM/ref=sr_1_13?m=ABXX6PE65BQIW&marketplaceID=A2EUQ1WTGCTBG2&qid=1679624730&s=merchant-items&sr=1-13","","","","","",""
"C1 C2 C3 C4","4","150P","C0G/NP0","","Capacitor - Ceramic","https://www.mouser.ca/datasheet/2/427/kseries-1763315.pdf","Vishay/BC","K151J15C0GF5TL2","Mouser","594-K151J15C0GF5TL2","https://www.mouser.ca/ProductDetail/?qs=B4Lc6Tv24ta3ZLBKnPGbzg%3D%3D","","","","","",""
"C5 C6","2","330P","","","Capacitor - Ceramic","https://www.mouser.ca/datasheet/2/212/1/KEM_F3036_PFR-1102852.pdf","KEMET","PFR5331J63J11L4BULK","Mouser","80-PFR5331J63J11L4","https://www.mouser.ca/ProductDetail/KEMET/PFR5331J63J11L4BULK?qs=RAUrRqLvb8x1Co6Xi6dz2Q%3D%3D","","","","","",""
"C7","1","5P6","C0G/NP0","","Capacitor - Ceramic","https://www.mouser.ca/datasheet/2/212/KEM_C1049_GOLDMAX_C0G-1102120.pdf","KEMET","C315C569D1G5TA","Mouser","80-C315C569D1G","https://www.mouser.ca/ProductDetail/KEMET/C315C569D1G5TA?qs=qe%2F8UmbcoTBh6wC284cfAA%3D%3D","","","","","",""
"C8","1","2U2","","","Capacitor - Electrolytic","https://www.mouser.ca/datasheet/2/315/ABA0000C1050-947578.pdf","Panasonic","ECE-A1HKA2R2I","Mouser","667-ECE-A1HKA2R2I","https://www.mouser.ca/ProductDetail/Panasonic/ECE-A1HKA2R2I?qs=rMMd5vBiahrhdq9%252B4ZL1Iw%3D%3D","","","","","",""
"C9 C13 C14 C15 C16 C17 C18 C19","8","100N","","IC decoupling","Capacitor - Ceramic - IC decoupling","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6","","","","","",""
"C10 C11 C12","3","10U","35 VDC","12 V decoupling","Capacitor - Electrolytic - 12 V decoupling","https://www.mouser.ca/datasheet/2/315/ABA0000C1059-947582.pdf","Panasonic","ECE-A1VKS100I","Mouser","667-ECE-A1VKS100I","https://www.mouser.ca/ProductDetail/667-ECE-A1VKS100I","Thonk","Group_Eurorack_DIY_Essential","https://www.thonk.co.uk/shop/eurorack-diy-essentials/","","",""
"D1 D2 D3 D4 D5 D6","6","1N5711","","","Schottky signal diode","https://www.mouser.ca/datasheet/2/389/cd00000759-1795802.pdf","STMicroelectronics","1N5711","Mouser","511-1N5711","https://www.mouser.ca/ProductDetail/STMicroelectronics/1N5711?qs=FITO%2F%2FQgYDnH7pJ7rS2FRA%3D%3D","","","","","",""
"D7","1","1N4001","","","50V 1A General Purpose Rectifier Diode, DO-41","https://www.mouser.ca/datasheet/2/308/1N4001_D-1801424.pdf","onsemi","1N4001G","Mouser","863-1N4001G","https://www.mouser.ca/ProductDetail/onsemi/1N4001G?qs=y2kkmE52mdM755WFCYWduQ%3D%3D","","","","","",""
"H5 H7 H8 H10","4","HW_Screw_M3x0.50x6","","","Machine screw, M3x0.50x6","","","","","","","","","","","",""
"H6 H9","2","HW_Standoff_F-F_11mm_M3x0.50","","","Standoff, 11mm, female-female, M3x0.50","https://www.thonk.co.uk/wp-content/uploads/2018/05/standoff-datasheet.pdf","Ettinger","05.03.111","Thonk","Mech_11mm_Standoff_(x10)","https://www.thonk.co.uk/shop/standoffs/","Mouser","710-970110321","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/970110321?qs=wr8lucFkNMUs0IWSCWTB3w%3D%3D","Mouser","144-MTS-11","https://www.mouser.ca/ProductDetail/144-MTS-11"
"H11 H12","2","Jumper_2","","","Jumper connector, 2-pin socket","https://www.mouser.ca/datasheet/2/209/KC-301174-1171759.pdf","","","Mouser","151-8013-E","https://www.mouser.ca/ProductDetail/Kobiconn/151-8013-E?qs=RC2ne4458IJaOh%2FxzS50bA%3D%3D","Adafruit","3525","https://www.adafruit.com/product/3525","","",""
"J1 J2 J3 J4 J5","5","WQP-PJ398","","","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling), QingPu / Thonkiconn","http://www.qingpu-electronics.com/en/products/WQP-PJ398SM-362.html","QingPu / Thonk","PJ398SM / WQP518MA","Thonk","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","SynthCube","WQP518MA","https://synthcube.com/cart/3-5mm-euro-jacks","Adafruit","4031","https://www.adafruit.com/product/4031"
